"","Materials","Quant","Cost","Upper","Source","NAICS.Code","cont","naicsname","Mat"
"1","Electricity, at grid, US, 2000 [kWh]",1062727511.11111,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221111,0.527921054181289,"Utilities","Molybdenum"
"2","Electricity, at grid, US, 2008 [kWh]",-25484.39031467,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221111,-1.26596385803749e-05,"Utilities","Molybdenum"
"3","Electricity, bituminous coal, at power plant [kWh]",-60268.7141210496,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221112,-2.99391168105449e-05,"Utilities","Molybdenum"
"4","Hydrogen, liquid, synthesis gas, at plant [kg]",-61269.7210041593,62.25933,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,-0.029562378633872,"Chemical Manufacturing","Molybdenum"
"5","Hydrogen, liquid, synthesis gas, at plant [kg]",-61269.7210041593,62.25933,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,-0.029562378633872,"Chemical Manufacturing","Molybdenum"
"6","Molybdenum Trioxide (at plant) [kg]",728938.299678377,0.956829,NA,NA,212299,0.00540522937981996,"Mining (except Oil and Gas)","Molybdenum"
"7","Natural gas, extracted [kg]",-180077.837003325,0.148,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,-0.000206543251948525,"Oil and Gas Extraction","Molybdenum"
"8","Natural gas, processed, for olefins production, at plant [kg]",-178294.888122104,0.148,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,-0.000204498269255965,"Oil and Gas Extraction","Molybdenum"
"9","Oxygen, liquid, at plant [kg]",34038.5373333333,0.956829,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,0.000252402846882117,"Chemical Manufacturing","Molybdenum"
"10","Production of Argon (at plant) [kg]",2188593.53333333,1.350122,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,0.022899560930515,"Chemical Manufacturing","Molybdenum"
